name,type,span,height_diff,span_type,angle,Horizontal,Vertical 50,Vert -18,Weights,WeightsSW
0,Z5+8.00,55.76,9.29,1000,  ,-,-,-,,
1,Z5+8.00,270,4.33,BA350,16.9127,162.88,198.89,189.51,,
2,RE5,262.17,-73.66,BA350,  ,266.09,681.6,853.2,,
3,T5+8.00,482.66,-97.53,term,17.6253,372.42,262.88,218.32,back:900 ,back: 225
4,TE5,615.17,-98.59,BA500,19.1836,548.92,490.19,466.27,,
5,R5+8.00,506.64,46.18,BA500,  ,560.91,207.97,60.86,,
6,TE5+18.00,443.36,-51.52,term,23.8234,475,767.15,888.46,,
7,T5+18.00,425.39,70.96,term,  ,434.38,36.02,-129.18,,
8,T5+8.00,485,167.81,term,8.6227,455.2,210.72,109.03,front:950 ,front: 250
9,ZE5,376,-8.75,BA350,7.2998,430.5,942.47,1155.05,,
10,R5,340,35.55,BA350,4.1125,358,177.47,102.77,,
11,G5+8.00,250,20.52,BA350,  ,295,326.5,339.63,,
12,RE5+8.00,380,-54.28,BA350,1.4843,315,632.38,763.66,,
13,ZE5+8.00,165,-72.42,2000,  ,272.5,270.51,208.52,,
14,ZE5+8.00,750,-31.49,term,  ,457.5,317.08,320.44,,
15,ZE5+8.00,240,94.95,2000,  ,495,256.59,212.43,,
16,ZE5+8.00,400.42,-29.85,term,  ,320.21,605.03,668.08,,
17,T5+8.00,514.58,74.93,BA350,5.5455,457.5,147.6,18.9,,
18,RE5,325,11.07,BA350,  ,419.79,576.27,641.44,,
19,S5,210,23.7,BA350,  ,267.5,156.11,110.2,,
20,ZE5,388.77,-79.84,term,  ,299.39,747.27,932.52,,
21,T5+8.00,521.23,6.64,term,3.7888,455,148.73,21.85,back:100 ,back: 25
22,ZE5,255,-79.98,BA350,  ,388.12,843.25,1031.24,,
23,G5,338.58,-75.38,BA350,  ,296.79,172.03,120.74,,
24,T5+18.00,416.42,32.36,BA350,13.3265,377.5,-44.6,-219.3,back:300 ,back: 75
25,R5,265,62.55,BA350,  ,340.71,119.17,27.85,,
26,S5+8.00,210.59,47.8,BA350,  ,237.8,250.13,255.34,,
27,ZE5,249.41,-46.78,BA350,23.6218,230,812.95,1053.56,,
28,R5+8.00,580,-49.71,BA350,  ,414.71,271.19,212.41,,
29,R5,350,-24.26,BA350,  ,465,442.4,432.68,,
30,G5,270,0.66,BA350,  ,310,208.56,166.59,,
31,R5,350,56.57,BA350,  ,310,85.86,-6.88,150,50
32,R5+18.00,208.52,17.12,BA350,  ,279.26,390.68,436.92,,
33,TE5,516.47,-52.26,BA350,21.4453,362.5,621.15,728.34,,
34,RE5,515,-111.13,BA350,  ,515.74,675.31,741.65,,
35,R5,355,-45.88,BA350,  ,435,315.24,265.08,,
36,R5+8.00,365,10.18,BA350,  ,360,138.32,46.58,,
37,RE5,205,-23.38,BA350,  ,285,485.65,568.49,,
38,G5,380,-37.33,BA350,  ,292.5,269.95,260.85,,
39,R5,405,-46.36,BA350,  ,392.5,415.25,424.71,,
40,R5,385,-13.44,BA350,  ,395,282.92,236.47,,
41,R5+8.00,385,2.85,BA350,  ,385,325.18,300.4,,
42,R5+18.00,490,10.47,BA350,  ,437.5,417.83,409.64,,
43,R5,455,-15.94,BA350,  ,472.5,552.11,585.16,,
44,R5,309.62,-20.7,BA350,  ,382.31,427.4,445.95,,
45,T5+8.00,360.38,3.78,BA350,4.3626,335,225.61,180.39,,
46,G5,240,-0.65,BA350,  ,300.19,318.87,326.6,,
47,R5+18.00,435,64.75,BA350,  ,337.5,124.16,35.69,,
48,RE5+8.00,445,3.95,BA350,  ,440,636.96,718.65,,
49,R5+8.00,405,59.16,BA350,  ,425,231.81,151.76,,
50,R5+8.00,375,71.72,BA350,  ,390,326.92,300.87,,
51,RE5,232.08,-7.95,BA350,  ,303.54,620.88,752.2,,
52,T5+8.00,407.92,-47.56,BA350,4.8851,320,435.87,483.97,,
53,R5+8.00,380,29.06,BA350,  ,393.96,121.53,8.67,,
54,R5,470,69.49,BA350,  ,425,325.07,283.46,,
55,R5+8.00,285,74.9,BA350,  ,377.5,217.56,151.91,,
56,R5+18.00,205,52.69,BA350,  ,245,252.62,255.97,,
57,ZE5,200,-37.33,BA350,  ,202.5,825.69,1082.81,,
58,R5+18.00,440,-78.4,BA350,  ,320,307.43,302.8,,
59,RE5,230,-70.75,BA350,  ,335,513.76,587.03,,
60,G5+8.00,382.96,-91.3,BA350,  ,306.48,211.31,172.49,,
61,T5+8.00,388.86,-41.77,term,19.706,385.91,203.52,128.01,back: 300,back: 75
62,T5+18.00,310,-25.19,BA350,20.5237,349.43,312.75,297.46,,
63,R5+18.00,388.4,-37.88,BA350,3.1788,349.2,371.97,381.49,,
