name,type,span,height_diff,span_type,angle,Horizontal,Vertical 50,Vert -18,Weights,WeightsSW
0,Z5+8.00,55.76,9.37,1000,  ,-,-,-,,
1,Z5+8.00,270.61,4.47,BA350,22.7558,163.18,199.03,189.37,,
2,RE5,284.39,-55.01,BA350,  ,277.50,573.06,695.16,,
3,ZE5+8.00,480.01,-116.30,term,30.7413,382.20,457.84,420.30,back:350,back: 100
4,TE5,615.17,-98.39,BA500,11.9226,547.59,429.95,404.87,,
5,R5,506.64,40.66,BA500,  ,560.91,214.62,139.75,,
6,RE5+8.00,440.00,10.20,BA500,  ,473.32,555.81,573.62,,
7,T5+8.00,605.00,70.66,term,26.7199,522.50,387.70,358.48,,
8,Z5+8.00,380.00,99.20,term,35.8378,492.50,295.90,181.22,front:650,front: 175
9,ZE5+8.00,395.00,3.59,BA350,26.6265,387.50,739.70,885.52,,
10,R5,340.00,35.55,BA350,0.2979,367.50,230.63,174.02,,
11,G5+8.00,250,20.52,BA350,  ,295,326.5,339.63,,
12,RE5+8.00,380,-54.28,BA350,1.4843,315,632.38,763.66,,
13,ZE5+8.00,165,-72.42,2000,  ,272.5,270.51,208.52,,
14,ZE5+8.00,750,-31.49,term,  ,457.5,317.08,320.44,,
15,ZE5+8.00,240,94.95,2000,  ,495,256.59,212.43,,
16,ZE5+8.00,400.42,-29.85,term,  ,320.21,605.03,668.08,,
17,T5+8.00,514.58,74.93,BA350,5.5455,457.5,147.6,18.9,,
18,RE5,325,11.07,BA350,  ,419.79,576.27,641.44,,
19,S5,210,23.7,BA350,  ,267.5,156.11,110.2,,
20,ZE5,388.77,-79.84,term,  ,299.39,747.27,932.52,,
21,T5+8.00,521.23,6.64,term,3.7888,455,148.73,21.85,back:100 ,back: 25
22,ZE5,255,-79.98,BA350,  ,388.12,843.25,1031.24,,
23,G5,338.58,-75.38,BA350,  ,296.79,172.03,120.74,,
24,T5+18.00,416.42,32.36,BA350,13.3265,377.5,-44.6,-219.3,back:300 ,back: 75
25,R5,265,62.55,BA350,  ,340.71,119.17,27.85,,
26,S5+8.00,210.59,47.8,BA350,  ,237.8,250.13,255.34,,
27,ZE5,249.41,-46.78,BA350,23.6218,230,812.95,1053.56,,
28,R5+8.00,580,-49.71,BA350,  ,414.71,271.19,212.41,,
29,R5,350,-24.26,BA350,  ,465,442.4,432.68,,
30,G5,270,0.66,BA350,  ,310,208.56,166.59,,
31,R5,350,56.57,BA350,  ,310,85.86,-6.88,150,50
32,R5+18.00,208.52,17.12,BA350,  ,279.26,390.68,436.92,,
33,TE5,516.47,-52.26,BA350,21.4453,362.5,621.15,728.34,,
34,RE5,515,-111.13,BA350,  ,515.74,675.31,741.65,,
35,R5,355,-45.88,BA350,  ,435,315.24,265.08,,
36,R5+8.00,365,10.18,BA350,  ,360,138.32,46.58,,
37,RE5,205,-23.38,BA350,  ,285,485.65,568.49,,
38,G5,380,-37.33,BA350,  ,292.5,269.95,260.85,,
39,R5,405,-46.36,BA350,  ,392.5,415.25,424.71,,
40,R5,385,-13.44,BA350,  ,395,282.92,236.47,,
41,R5+8.00,385,2.85,BA350,  ,385,325.18,300.4,,
42,R5+18.00,490,10.47,BA350,  ,437.5,417.83,409.64,,
43,R5,455,-15.94,BA350,  ,472.5,552.11,585.16,,
