X_0,Y_0,X_20,Y_20,X_40,Y_40
15,0.125,15,0.175,15,0.225
20,0.2175,20,0.275,20,0.33
25,0.3525,25,0.415,25,0.48
30,0.535,30,0.6025,30,0.675
35,0.75,35,0.825,35,0.9
40,0.995,40,1.07,40,1.1425
45,1.2575,45,1.3325,45,1.4075
50,1.5325,50,1.6075,50,1.6825
55,1.8325,55,1.9075,55,1.9825
60,2.1575,60,2.2325,60,2.3075
65,2.5325,65,2.605,65,2.68
70,2.9575,70,3.025,70,3.1
75,3.425,75,3.4875,75,3.5575
80,3.9075,80,3.975,80,4.045
85,4.4325,85,4.495,85,4.56
90,4.9825,90,5.04,90,5.1075
95,5.5325,95,5.6025,95,5.675
