X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40
100,0.71,100,0.735,100,0.76,100,0.785,100,0.81
125,1.11,125,1.145,125,1.18,125,1.22,125,1.26
150,1.62,150,1.665,150,1.7,150,1.765,150,1.81
175,2.24,175,2.295,175,2.35,175,2.41,175,2.47
200,2.95,200,3,200,3.05,200,3.12,200,3.2
225,3.72,225,3.8,225,3.88,225,3.96,225,4.04
250,4.6,250,4.7,250,4.8,250,4.9,250,5
275,5.59,275,5.71,275,5.82,275,5.94,275,6.06
300,6.62,300,6.75,300,6.87,300,7.04,300,7.2
325,7.75,325,7.9,325,8.07,325,8.26,325,8.45
350,9.01,350,9.2,350,9.4,350,9.6,350,9.8
375,10.35,375,10.58,375,10.8,375,11.03,375,11.28
400,11.78,400,12.02,400,12.3,400,12.55,400,12.81
425,13.31,425,13.59,425,13.9,425,14.17,425,14.48
450,14.9,450,15.21,450,15.53,450,15.86,450,16.21
475,16.58,475,16.93,475,17.3,475,17.77,475,18.04
500,18.37,500,18.79,500,19.19,500,19.58,500,20
525,20.28,525,20.73,525,21.16,525,21.61,525,22.07
550,22.25,550,22.73,550,23.22,550,23.72,550,24.2
575,24.33,575,24.88,575,25.4,575,25.92,575,26.45
600,26.5,600,27.1,600,27.65,600,28.23,600,28.8
625,28.75,625,29.4,625,30,625,30.64,625,31.27
650,31.08,650,31.78,650,32.45,650,33.12,650,33.8
675,33.52,675,34.24,675,34.98,675,35.72,675,36.43
700,36.03,700,36.83,700,37.61,700,38.4,700,39.15
725,38.68,725,39.54,725,40.36,725,41.2,725,42.02
750,41.4,750,42.3,750,43.18,750,44.12,750,45
