X_0,Y_0,X_20,Y_20,X_40,Y_40,X_50,Y_50
50,0.19,50,0.235,50,0.325,50,0.4
70,0.35,70,0.475,70,0.64,70,0.735
90,0.675,90,0.875,90,1.075,90,1.185
110,1.115,110,1.365,110,1.585,110,1.74
130,1.69,130,1.965,130,2.24,130,2.375
150,2.41,150,2.7,150,2.97,150,3.095
170,3.225,170,3.545,170,3.815,170,3.97
190,4.18,190,4.485,190,4.775,190,4.95
210,5.255,210,5.535,210,5.86,210,6.05
230,6.425,230,6.715,230,7.03,230,7.21
250,7.645,250,7.99,250,8.325,250,8.45
270,9.025,270,9.3,270,9.7,270,9.85
290,10.485,290,10.81,290,11.165,290,11.31
300,11.25,300,11.59,300,11.92,300,12.08
