X_0,Y_0,X_10,Y_10,X_20,Y_20,X_30,Y_30,X_40,Y_40,X_50,Y_50
20,0.1,20,0.15,20,0.2,20,0.265,20,0.31,20,0.355
30,0.24,30,0.315,30,0.39,30,0.455,30,0.515,30,0.575
40,0.43,40,0.52,40,0.6,40,0.675,40,0.755,40,0.82
50,0.67,50,0.775,50,0.87,50,0.95,50,1.05,50,1.13
60,0.985,60,1.1,60,1.2,60,1.29,60,1.385,60,1.465
70,1.345,70,1.46,70,1.565,70,1.655,70,1.755,70,1.85
80,1.76,80,1.88,80,1.985,80,2.085,80,2.19,80,2.295
90,2.24,90,2.35,90,2.48,90,2.575,90,2.67,90,2.785
100,2.75,100,2.88,100,3,100,3.1,100,3.205,100,3.315
110,3.335,110,3.48,110,3.6,110,3.69,110,3.8,110,3.915
120,3.99,120,4.125,120,4.245,120,4.35,120,4.465,120,4.575
130,4.68,130,4.815,130,4.94,130,5.04,130,5.165,130,5.28
140,5.425,140,5.55,140,5.675,140,5.8,140,5.915,140,6.02
